,comment_id,parent_comment_id,text,author,like_count,published_at,comment_type,ChannelName,text_final
0,UgzqZsNo3Nn7nnks9_B4AaABAg,,john lewis ad kickstarts christmas countdown to the tune of 90s club classic ► https /,@guardiannews,48,2025-11-04T09:21:26Z,top,Guardian News Partner,kickstarts countdown tune 90s club classic https
3,UgyZgE1bf7U9YPGp_vV4AaABAg,,why did that make me emotional? tune! red heart,@ba8501,0,2026-01-05T06:55:39Z,top,Guardian News Partner,why did make emotional? tune! red heart
4,UgzdL5rOLLLUjPkWjPR4AaABAg,,growing heart,@Carolmyinnerself,0,2026-01-04T18:01:22Z,top,Guardian News Partner,growing heart
5,UgxeWEH4cQdHmxegi7B4AaABAg,,42 year old dad. who has another 7 year old. mate you are not unloved. you are part of our family. and when you played the dubstep man shrugging grinning squinting face sweat droplets,@ashleyjackman4017,0,2025-12-30T01:28:55Z,top,Guardian News Partner,42 old dad. has another old. mate not unloved. part our family. played dubstep man shrugging grinning squinting face sweat droplets
6,UgyaULwImFZCsBxCfiB4AaABAg,,a rip off of aftersun actually. which is why it works,@ahorseishuman66,0,2025-12-24T22:25:23Z,top,Guardian News Partner,rip off aftersun actually. which why works
7,Ugy5oboV7phmhmrTWnR4AaABAg,,rave dad,@Dani_London,0,2025-12-22T22:54:38Z,top,Guardian News Partner,rave dad
8,Ugxr-W8DIUean4_S_a14AaABAg,,great advert. thanks john lewis !,@dancronin403,0,2025-12-20T14:54:56Z,top,Guardian News Partner,great advert. thanks
9,UgzrI8sS9U6g1X-dOVl4AaABAg,,fantastic as always…,@renatooliva9921,0,2025-12-18T20:18:38Z,top,Guardian News Partner,fantastic always…
10,UgxiuwS-RQ-tygiOjoZ4AaABAg,,one of the best john lewis adverts i’ve seen in years.,@dee2251,0,2025-12-16T21:34:13Z,top,Guardian News Partner,one best adverts i’ve seen years.
11,UgzQMQrDf2tWMKcjUrV4AaABAg,,definitely the best advert this christmas,@daphneking3954,0,2025-12-16T20:24:20Z,top,Guardian News Partner,definitely best
12,UgwOODfbf5d6dpCWccV4AaABAg,,"well done jl. many men, young men in particular, have lost their confidence. they see negative stereotypes in the media and they wonder what their role in society is. the truth is, most men are caring, sensitive and loving. this advert nails it.",@various7777,0,2025-12-16T10:14:33Z,top,Guardian News Partner,"well done jl. many men, young men particular, lost confidence. see negative stereotypes media wonder what role society is. truth is, most men caring, sensitive loving. nails it."
13,Ugx9yWlYN4gedjwq7IJ4AaABAg,,love alison limerick's where love lies! reminds me of my heyday. coincidentally i downloaded this song on apple music not long ago.,@jacquisuh,0,2025-12-15T05:47:49Z,top,Guardian News Partner,love alison limerick's where love lies! reminds heyday. coincidentally downloaded song on apple music not long ago.
