video_id,comment_id,parent_comment_id,text,author,like_count,published_at,comment_type
dc5S4IV_NeA,UgzqZsNo3Nn7nnks9_B4AaABAg,,John Lewis ad kickstarts Christmas countdown to the tune of 90s club classic ► https://www.theguardian.com/media/2025/nov/04/john-lewis-christmas-advert-countdown-90s-club-classic-where-love-lives,@guardiannews,48,2025-11-04T09:21:26Z,top
dc5S4IV_NeA,UgzqZsNo3Nn7nnks9_B4AaABAg.AP5m_n5r8YdAP9tdX8aAmk,UgzqZsNo3Nn7nnks9_B4AaABAg,"as I said on twitter, still balling my eyes out",@patrickclark2588,4,2025-11-05T23:40:04Z,reply
dc5S4IV_NeA,UgzqZsNo3Nn7nnks9_B4AaABAg.AP5m_n5r8YdAPMFRTaTPvW,UgzqZsNo3Nn7nnks9_B4AaABAg,​@patrickclark2588same 😂❤,@megullett1,0,2025-11-10T18:50:09Z,reply
dc5S4IV_NeA,UgyZgE1bf7U9YPGp_vV4AaABAg,,Why did that make me emotional? Tune!❤,@ba8501,0,2026-01-05T06:55:39Z,top
dc5S4IV_NeA,UgzdL5rOLLLUjPkWjPR4AaABAg,,💗,@Carolmyinnerself,0,2026-01-04T18:01:22Z,top
dc5S4IV_NeA,UgxeWEH4cQdHmxegi7B4AaABAg,,42 year old dad. Who has another 7 year old. Mate you are not unloved. You are part of our family. And when you played the dubstep 🤷‍♂️😆💦💦💦,@ashleyjackman4017,0,2025-12-30T01:28:55Z,top
dc5S4IV_NeA,UgyaULwImFZCsBxCfiB4AaABAg,,A rip off of Aftersun actually. Which is why it works,@ahorseishuman66,0,2025-12-24T22:25:23Z,top
dc5S4IV_NeA,Ugy5oboV7phmhmrTWnR4AaABAg,,rave dad,@Dani_London,0,2025-12-22T22:54:38Z,top
dc5S4IV_NeA,Ugxr-W8DIUean4_S_a14AaABAg,,Great advert. Thanks John Lewis !,@dancronin403,0,2025-12-20T14:54:56Z,top
dc5S4IV_NeA,UgzrI8sS9U6g1X-dOVl4AaABAg,,Fantastic as always…,@renatooliva9921,0,2025-12-18T20:18:38Z,top
